"","Boro-Block-Lot","CondoSection","Address","Neighborhood","BldgClassification","TotalUnits","YearBuilt","GrossSqFt","EstGrossIncome","GrossIncomePerSqFt","EstimatedExpense","ExpensePerSqFt","NetOperatingIncome","FullMarketValue","MarketValuePerSqFt","ReportYear"
"1","3-00339-7503","3343-R1","291 UNION STREET","CARROLL GARDENS","R4-ELEVATOR",32,2013,74575,2754055,36.93,943374,12.65,1810681,14483998,194.22,2017
"2","1-00405-7503","1104-R1","511 EAST 11 STREET","ALPHABET CITY","R2  -WALK-UP",12,1999,14376,739789,51.46,213196,14.83,526593,4276998,297.51,2019
"3","1-01505-7501","0028-R1","55 EAST 93 STREET","UPPER EAST SIDE (79-96)","R4-CONDOMINIUM",29,1980,23232,865392,37.25,231623,9.97,633769,5045002,217.16,2015
"4","3-06747-7502","2296-R1","1389 EAST 18 STREET","MIDWOOD","R4-CONDOMINIUM",9,2008,7353,170075,23.13,65736,8.94,104339,781997,106.35,2014
"5","2-05643-7501","0060-R1","190 FORDHAM STREET","CITY ISLAND","R2-WALK-UP",16,1897,16605,288761,17.39,138818,8.36,149943,1071674,64.54,2017
"6","1-00392-7501","0341-R1","143 AVENUE B","ALPHABET CITY","R4-ELEVATOR",83,1928,78982,3229574,40.89,1333216,16.88,1896358,15170010,192.07,2017
"7","3-00898-7501","2079-R1","352 21 STREET","SUNSET PARK","R2  -WALK-UP",8,2006,8400,241248,28.72,71904,8.56,169344,1372000,163.33,2019
"8","1-00819-7502","1330-R1","63 WEST 17 STREET","FLATIRON","R4-CONDOMINIUM",17,1961,38359,1452971,37.88,281773,7.35,1171198,8930002,232.8,2014
"9","4-02796-7501","0266-R1","57-15 69 LANE","ELMHURST","R2-WALK-UP",13,1989,10170,178585,17.56,79224,7.79,99361,741001,72.86,2016
"10","3-01771-7501","2842-R1","118 HART STREET","BEDFORD STUYVESANT","R2  -WALK-UP",16,2009,25340,659347,26.02,120872,4.77,538475,4310000,170.09,2019
"11","1-00399-7501","0602-R1","50 AVENUE A","ALPHABET CITY","R9-CONDOMINIUM",17,1920,21314,694305,32.58,218310,10.24,475995,3629000,170.26,2014
"12","1-00215-7502","1393-R1","161 HUDSON STREET","TRIBECA","R4-ELEVATOR",24,1930,66444,2459092,37.01,602647,9.07,1856445,14852001,223.53,2017
"13","3-01966-7503","1956-R1","242 GREENE AVENUE","CLINTON HILL","R2-CONDOMINIUM",13,1930,20857,477000,22.87,196682,9.43,280318,2077998,99.63,2012
"14","4-05039-7502","0428-R1","41-05 COLLEGE POINT BOULEVARD","FLUSHING-NORTH","R4  -ELEVATOR",47,2002,41800,974358,23.31,365750,8.75,608608,4899004,117.2,2018
"15","1-00173-7503","2052-R1","79 WORTH STREET","CIVIC CENTER","R4-CONDOMINIUM",29,1880,56292,2377211,42.23,945143,16.79,1432068,11443994,203.3,2015
